"بازگشایی
؟","کمترین
؟","بیشترین
؟","پایانی
؟",میزان تغییر,درصد تغییر,تاریخ / میلادی,تاریخ / شمسی
"1,087,850","1,074,800","1,088,200","1,079,700",3500,0.32%,2025/11/03,1404/08/12
"1,087,200","1,082,300","1,088,700","1,083,200",5500,0.51%,2025/11/02,1404/08/11
"1,073,800","1,073,800","1,089,200","1,088,700",15700,1.46%,2025/11/01,1404/08/10
"1,071,300","1,071,300","1,076,700","1,073,000",3900,0.36%,2025/10/30,1404/08/08
"1,069,050","1,066,800","1,074,700","1,069,100",200,0.02%,2025/10/29,1404/08/07
"1,078,550","1,069,300","1,083,200","1,069,300",10500,0.98%,2025/10/28,1404/08/06
"1,079,150","1,077,300","1,086,200","1,079,800",1400,0.13%,2025/10/27,1404/08/05
"1,068,850","1,068,800","1,087,200","1,078,400",8200,0.77%,2025/10/26,1404/08/04
"1,071,200","1,066,800","1,077,200","1,070,200",14600,1.36%,2025/10/25,1404/08/03
"1,078,450","1,078,300","1,094,200","1,084,800",9200,0.86%,2025/10/23,1404/08/01
"1,078,200","1,072,300","1,079,700","1,075,600",13300,1.24%,2025/10/22,1404/07/30
"1,063,600","1,059,800","1,091,200","1,088,900",24800,2.33%,2025/10/21,1404/07/29
"1,086,600","1,063,800","1,099,200","1,064,100",19300,1.81%,2025/10/20,1404/07/28
"1,073,050","1,072,800","1,091,200","1,083,400",18400,1.73%,2025/10/19,1404/07/27
"1,100,700","1,060,800","1,100,700","1,065,000",37500,3.52%,2025/10/18,1404/07/26
"1,098,100","1,097,800","1,114,200","1,102,500",6700,0.61%,2025/10/16,1404/07/24
"1,086,700","1,086,300","1,101,700","1,095,800",6900,0.63%,2025/10/15,1404/07/23
"1,105,800","1,085,300","1,106,200","1,088,900",23100,2.12%,2025/10/14,1404/07/22
"1,118,800","1,110,300","1,126,700","1,112,000",9400,0.85%,2025/10/13,1404/07/21
"1,123,850","1,112,800","1,128,200","1,121,400",5600,0.5%,2025/10/12,1404/07/20
"1,124,300","1,124,300","1,149,200","1,127,000",5850,0.52%,2025/10/11,1404/07/19
"1,156,150","1,129,800","1,156,200","1,132,850",24050,2.12%,2025/10/09,1404/07/17
"1,138,300","1,138,300","1,164,200","1,156,900",17200,1.51%,2025/10/08,1404/07/16
"1,110,700","1,106,800","1,141,200","1,139,700",28100,2.53%,2025/10/07,1404/07/15
"1,133,400","1,111,300","1,133,700","1,111,600",27100,2.44%,2025/10/06,1404/07/14
"1,151,300","1,138,300","1,153,700","1,138,700",15100,1.33%,2025/10/05,1404/07/13
"1,170,550","1,148,300","1,170,700","1,153,800",24800,2.15%,2025/10/04,1404/07/12
"1,158,700","1,158,300","1,180,700","1,178,600",24200,2.1%,2025/10/02,1404/07/10
"1,138,700","1,138,300","1,165,700","1,154,400",13100,1.15%,2025/10/01,1404/07/09
"1,120,600","1,120,300","1,141,700","1,141,300",20900,1.87%,2025/09/30,1404/07/08
"1,111,450","1,097,800","1,120,700","1,120,400",15200,1.38%,2025/09/29,1404/07/07
"1,103,100","1,095,800","1,105,200","1,105,200",4000,0.36%,2025/09/28,1404/07/06
"1,084,150","1,082,800","1,122,200","1,101,200",18300,1.69%,2025/09/27,1404/07/05
"1,072,850","1,072,300","1,085,700","1,082,900",10850,1.01%,2025/09/25,1404/07/03
"1,047,200","1,047,200","1,075,700","1,072,050",37150,3.59%,2025/09/24,1404/07/02
"1,041,100","1,025,200","1,042,100","1,034,900",5100,0.49%,2025/09/23,1404/07/01
"1,063,100","1,037,200","1,063,100","1,040,000",18600,1.79%,2025/09/22,1404/06/31
"1,027,100","1,026,700","1,058,600","1,058,600",32500,3.17%,2025/09/21,1404/06/30
"1,006,100","1,005,700","1,033,100","1,026,100",37650,3.81%,2025/09/20,1404/06/29
"992,700","987,200","993,100","988,450",3900,0.39%,2025/09/18,1404/06/27
"996,000","1,000,000","999,950","992,350",4100,0.41%,2025/09/17,1404/06/26
"992,000","1,000,000","999,950","996,450",3900,0.39%,2025/09/16,1404/06/25
"981,000","980,700","998,100","992,550",12750,1.3%,2025/09/15,1404/06/24
"978,100","977,700","988,100","979,800",2950,0.3%,2025/09/14,1404/06/23
"992,000","975,700","992,100","976,850",16150,1.65%,2025/09/13,1404/06/22
"990,250","990,200","996,600","993,000",15300,1.54%,2025/09/11,1404/06/20
"1,005,950","1,000,000","999,950","1,008,300",2700,0.27%,2025/09/09,1404/06/18
"1,025,700","1,010,700","1,026,600","1,011,000",15800,1.56%,2025/09/08,1404/06/17
"1,027,100","1,023,700","1,032,100","1,026,800",3000,0.29%,2025/09/07,1404/06/16
"1,012,100","1,011,700","1,034,100","1,029,800",15400,1.52%,2025/09/06,1404/06/15
"1,023,900","1,014,300","1,024,200","1,014,400",11300,1.11%,2025/09/04,1404/06/13
"1,032,700","1,023,800","1,032,700","1,025,700",6300,0.61%,2025/09/03,1404/06/12
"1,055,700","1,031,300","1,056,700","1,032,000",16300,1.58%,2025/09/02,1404/06/11
