"بازگشایی
؟","کمترین
؟","بیشترین
؟","پایانی
؟",میزان تغییر,درصد تغییر,تاریخ / میلادی,تاریخ / شمسی
"104,575,000","103,486,000","104,605,000","103,818,000",732000,0.71%,2025/10/30,1404/08/08
"103,509,000","103,509,000","105,621,000","104,550,000",1023000,0.99%,2025/10/29,1404/08/07
"105,457,000","102,516,000","105,457,000","103,527,000",1926000,1.86%,2025/10/28,1404/08/06
"107,452,000","105,171,000","107,874,000","105,453,000",1985000,1.88%,2025/10/27,1404/08/05
"106,471,000","106,471,000","109,218,000","107,438,000",944000,0.89%,2025/10/26,1404/08/04
"108,934,000","105,702,000","108,934,000","106,494,000",2459000,2.31%,2025/10/25,1404/08/03
"108,613,000","108,613,000","109,754,000","108,953,000",314000,0.29%,2025/10/23,1404/08/01
"109,149,000","107,987,000","110,098,000","108,639,000",482000,0.44%,2025/10/22,1404/07/30
"109,733,000","109,096,000","111,991,000","109,121,000",621000,0.57%,2025/10/21,1404/07/29
"110,834,000","108,322,000","110,834,000","109,742,000",1076000,0.98%,2025/10/20,1404/07/28
"108,465,000","108,465,000","112,582,000","110,818,000",2341000,2.16%,2025/10/19,1404/07/27
"112,734,000","107,537,000","112,734,000","108,477,000",4264000,3.93%,2025/10/18,1404/07/26
"111,698,000","111,698,000","113,505,000","112,741,000",1041000,0.93%,2025/10/16,1404/07/24
"108,445,000","108,445,000","111,889,000","111,700,000",3267000,3.01%,2025/10/15,1404/07/23
"109,347,000","107,953,000","109,811,000","108,433,000",912000,0.84%,2025/10/14,1404/07/22
"108,440,000","108,440,000","111,171,000","109,345,000",921000,0.85%,2025/10/13,1404/07/21
"109,200,000","106,937,000","109,973,000","108,424,000",803000,0.74%,2025/10/12,1404/07/20
"111,414,000","109,086,000","111,866,000","109,227,000",2200000,2.01%,2025/10/11,1404/07/19
"113,711,000","110,195,000","113,711,000","111,427,000",2302000,2.07%,2025/10/09,1404/07/17
"109,303,000","109,303,000","114,660,000","113,729,000",4430000,4.05%,2025/10/08,1404/07/16
"105,303,000","105,303,000","110,065,000","109,299,000",3990000,3.79%,2025/10/07,1404/07/15
"106,039,000","105,139,000","107,064,000","105,309,000",732000,0.7%,2025/10/06,1404/07/14
"109,544,000","105,623,000","109,544,000","106,041,000",3507000,3.31%,2025/10/05,1404/07/13
"110,827,000","108,899,000","110,943,000","109,548,000",1265000,1.15%,2025/10/04,1404/07/12
"109,049,000","109,049,000","111,658,000","110,813,000",1747000,1.6%,2025/10/02,1404/07/10
"106,909,000","106,734,000","109,234,000","109,066,000",2325000,2.18%,2025/10/01,1404/07/09
"104,615,000","104,374,000","107,318,000","106,741,000",2138000,2.04%,2025/09/30,1404/07/08
"101,606,000","101,122,000","105,146,000","104,603,000",3008000,2.96%,2025/09/29,1404/07/07
"103,564,000","100,496,000","103,564,000","101,595,000",1976000,1.94%,2025/09/28,1404/07/06
"100,000,000","100,000,000","103,578,000","103,571,000",3814000,3.82%,2025/09/27,1404/07/05
"99,462,000","100,000,000","99,997,000","99,757,000",275000,0.28%,2025/09/25,1404/07/03
"96,497,000","100,000,000","99,997,000","99,482,000",2971000,3.08%,2025/09/24,1404/07/02
"93,588,000","92,670,000","96,860,000","96,511,000",2906000,3.1%,2025/09/23,1404/07/01
"96,744,000","93,263,000","96,814,000","93,605,000",3137000,3.35%,2025/09/22,1404/06/31
"92,349,000","92,349,000","96,975,000","96,742,000",4386000,4.75%,2025/09/21,1404/06/30
"87,417,000","87,417,000","93,581,000","92,356,000",4946000,5.66%,2025/09/20,1404/06/29
"88,433,000","87,337,000","88,433,000","87,410,000",989000,1.13%,2025/09/18,1404/06/27
"88,449,000","88,191,000","89,241,000","88,399,000",16000,0.02%,2025/09/17,1404/06/26
"86,789,000","86,789,000","89,218,000","88,415,000",1612000,1.86%,2025/09/16,1404/06/25
"84,245,000","84,245,000","86,863,000","86,803,000",2549000,3.03%,2025/09/15,1404/06/24
"84,605,000","83,887,000","85,822,000","84,254,000",370000,0.44%,2025/09/14,1404/06/23
"86,475,000","84,497,000","86,475,000","84,624,000",1718000,2.03%,2025/09/13,1404/06/22
"88,523,000","86,069,000","88,523,000","86,342,000",2160000,2.5%,2025/09/11,1404/06/20
"88,059,000","87,316,000","88,664,000","88,502,000",436000,0.5%,2025/09/09,1404/06/18
"88,188,000","87,983,000","90,165,000","88,066,000",132000,0.15%,2025/09/08,1404/06/17
"87,651,000","87,544,000","88,941,000","88,198,000",552000,0.63%,2025/09/07,1404/06/16
"86,141,000","86,141,000","88,433,000","87,646,000",1498000,1.74%,2025/09/06,1404/06/15
"87,621,000","85,928,000","87,621,000","86,148,000",1454000,1.69%,2025/09/04,1404/06/13
"87,669,000","86,575,000","87,995,000","87,602,000",90000,0.1%,2025/09/03,1404/06/12
